sentence,binary
"That new song is absolutely fire, I can't stop playing it",1
The fire department responded quickly to the house fire,0
"Your outfit is so bad, everyone's going to be jealous",1
I got a bad grade on my chemistry test yesterday,0
"She killed that performance, the crowd went wild",1
The detective is investigating who killed the victim,0
"This pizza is bomb, where did you order it from?",1
The bomb squad was called to investigate the suspicious package,0
"That movie was straight trash, waste of two hours",1
Please take out the trash before the garbage truck comes,0
"He's so pressed about losing the game, still complaining",1
I pressed the elevator button but it's not working,0
Stop being so salty about not getting invited,1
The ocean water tastes very salty near the shore,0
"That comeback was cold, you really got him good",1
"It's so cold outside, I need to wear a jacket",0
"Your new haircut is sick, who's your barber?",1
"I'm feeling sick today, might stay home from work",0
"This beat slaps, turn up the volume please",1
She slaps mosquitoes away while camping in the woods,0
"Don't cap, did you really meet the celebrity?",1
I lost my baseball cap at the park yesterday,0
"That's some good tea, tell me more details",1
I prefer green tea over coffee in the morning,0
"Your dance moves are lit, teach me that step",1
The candles were lit for the romantic dinner,0
"This restaurant is fire, we should come back again",1
The firefighters battled the forest fire all night,0
He's flexing his new car on social media,1
I need to flex my muscles before working out,0
"She has serious drip, always dressed to impress",1
There's a water drip coming from the ceiling,0
"That joke was dead, nobody laughed at all",1
"The plant is dead, I forgot to water it",0
"Stop ghosting me, reply to my text messages",1
The children believe there's a ghost in the attic,0
I'm lowkey excited about the concert this weekend,1
"Keep your voice low, the baby is sleeping peacefully",0
"That's sus, why won't you tell us where you were?",1
The police officer suspects him of stealing the bike,0
This coffee hits different in the morning sunshine,1
The baseball player hits the ball out of the park,0
"She's absolutely glowing today, looks so happy and radiant",1
The lamp is glowing softly in the dark bedroom,0
"Your cooking skills are chef's kiss, this tastes amazing",1
The chef prepared a five-course meal for the guests,0
"That outfit is clean, you look professionally dressed",1
Make sure your hands are clean before eating dinner,0
He's been grinding all semester for good grades,1
I'm grinding coffee beans for tomorrow morning's breakfast,0
"The new album is straight heat, every song bangs",1
"Turn down the heat, the soup is boiling too rapidly",0
"That performance was clutch, saved the whole game",1
Press the clutch when shifting gears in manual transmission,0
"She's serving looks today, absolutely stunning outfit",1
The waiter is serving dinner to table number five,0
"Don't be extra, we're just going to the store",1
I ordered extra cheese on my pizza for tonight,0
"That car is fresh, when did you buy it?",1
The fresh vegetables taste better than frozen ones today,0
"This party is poppin, everyone's having a great time",1
The balloon is poppin because of the sharp needle,0
"Your presentation was smooth, very well delivered and organized",1
The lake surface is smooth without any waves today,0
"He got bars, his rap skills are really impressive",1
The prison has metal bars on all the windows,0
"That's a whole mood, I completely understand that feeling",1
Her mood changed quickly when she heard the news,0
"This song is a bop, I've been dancing all day",1
He gave her a gentle bop on the head playfully,0
"Your style is tight, everything matches perfectly together",1
"These shoes are too tight, they're hurting my feet",0
"She's absolutely stunning, a real snack honestly",1
I packed a healthy snack for the hiking trip,0
"That comeback was savage, you really roasted him good",1
The savage lion hunted zebras on the African plains,0
"This beat goes hard, perfect for working out",1
"The math test was hard, I studied for hours",0
"He's soft, can't handle any criticism at all",1
The pillow is soft and comfortable for sleeping,0
"That's a vibe, this music matches my current mood",1
Set your phone to vibe mode during the meeting,0
She's pressed about not getting the promotion at work,1
I pressed the doorbell but nobody answered the door,0
"Don't sleep on this artist, they're incredibly talented",1
I need to sleep early tonight for tomorrow's exam,0
"That's fire content, your videos are getting better",1
The fire alarm went off during our important meeting,0
"He's mad talented, plays five different musical instruments",1
I'm mad about the traffic delay this morning,0
She's absolutely killing it in her new job,1
The frost is killing all the plants in our garden,0
"That outfit hits different, you look amazing tonight",1
The car hits the pothole every time we drive here,0
"This place has good vibes, let's stay a bit longer",1
The phone vibes when someone calls or texts you,0
"Your makeup is on point today, looks professionally done",1
The arrow hit the point exactly in the target center,0
"That's straight facts, you're telling the complete truth",1
I need to check the facts before writing this report,0
She's lowkey the best singer in our entire school,1
Turn the key clockwise to unlock the front door,0
"This food is bussin, compliments to the talented chef",1
The city bus is running late again this morning,0
"That's a whole vibe, I love this chill atmosphere",1
The guitar strings vibe when you pluck them gently,0
"He's spitting bars, his freestyle rap is incredible",1
The llama is spitting at visitors in the petting zoo,0
"Your energy is unmatched today, so positive and inspiring",1
The soccer teams are unmatched in skill level differences,0
"That's gas, this song is absolutely perfect for dancing",1
I need to put gas in my car before the road trip,0
"She's absolutely glowing, pregnancy suits her so well",1
The fireflies are glowing beautifully in the summer evening,0
"This beat is nasty, the producer has serious talent",1
The nasty weather ruined our outdoor picnic plans today,0
He's been flexing his muscles at the gym lately,1
You need to flex your ankle after the injury heals,0
"That performance was clean, no mistakes at all",1
The house needs to be clean before guests arrive,0
She's serving major looks at the fashion show tonight,1
The restaurant is serving lunch until three o'clock today,0
"This playlist is fire, perfect songs for the party",1
The forest fire burned hundreds of acres last summer,0
"Your drip is unmatched, always dressed so stylishly",1
Fix the kitchen faucet drip before it gets worse,0
"That comeback was brutal, he won't recover from that",1
The brutal winter weather lasted for three long months,0
"She's absolutely radiant today, glowing with happiness and joy",1
The radiant heater keeps the room warm during winter,0
"This coffee is bomb, where did you buy these beans?",1
The bomb threat forced evacuation of the entire building,0
He's lowkey obsessed with that new video game,1
"Keep the music low, neighbors are trying to sleep",0
"That's a whole snack, she looks absolutely stunning",1
I brought a healthy snack for the long movie,0
"Your vocals are sick, you should audition for the choir",1
I'm feeling sick and need to see a doctor,0
"This party is lit, everyone's dancing and having fun",1
The birthday candles are lit on the chocolate cake,0
"She's absolutely fire, talented in every way possible",1
The house fire damaged the kitchen and living room,0
"That joke was dead, the silence was so awkward",1
The flowers are dead because nobody watered them regularly,0
Don't ghost me after our amazing date last night,1
Some people believe they saw a ghost in that house,0
"Your style is fresh, love the new fashion choices",1
Buy fresh vegetables for tonight's healthy dinner recipe,0
"That beat goes crazy, I can't stop nodding my head",1
The traffic situation is absolutely crazy during rush hour,0
She's serving excellence in every single performance lately,1
The waiter is serving appetizers to the corner table,0
"This song is a banger, turn the volume up please",1
The construction worker uses a hammer as a banger,0
"Your presentation was smooth sailing, no technical issues at all",1
The boat experienced smooth sailing across the calm lake,0
He's absolutely cooking in the kitchen with those dance moves,1
She's cooking dinner for the family gathering this evening,0
"That outfit is clean, everything coordinates perfectly together today",1
Please clean your room before your friends come over,0
"This beat is nasty good, the bass line is incredible",1
The nasty storm damaged several houses in our neighborhood,0
"She's glowing up, looking better and more confident lately",1
The stars are glowing brightly in the clear night sky,0
"Your energy is contagious today, spreading positivity to everyone around",1
The contagious disease spread quickly through the crowded school,0
"That's straight fire content, your creativity knows no bounds",1
The fire department extinguished the blaze within two hours,0
He's lowkey the funniest person in our friend group,1
Speak in a low voice during the library study session,0
This food hits the spot perfectly after a long day,1
The ball hits the spot marked with an X,0
She's absolutely killing the game in her professional career,1
The pesticide is killing insects in the garden effectively,0
"That performance was cold, showed no emotion or passion",1
The cold weather requires wearing multiple layers of clothing,0
"Your makeup skills are unreal, you could be a professional",1
The movie's special effects looked completely unreal and fake,0
"This playlist slaps, every song is perfect for working out",1
The teacher slaps the ruler on the desk for attention,0
She's pressed about missing the concert due to work,1
I pressed all the elevator buttons by accident today,0
"That's sus behavior, why are you acting so secretive?",1
The detective suspects the butler committed the crime yesterday,0
"Your vocals are heavenly, you should record an album",1
The heavenly clouds look beautiful against the blue sky,0
"This beat is dirty, the bass drops are incredible",1
My shoes are dirty from walking through the muddy park,0
"She's absolutely glowing today, must be the new skincare routine",1
The lamp is glowing dimly in the corner of the room,0
"That comeback was icy, you really shut him down",1
The icy road conditions made driving dangerous this morning,0
"Your style game is strong, always looking put together",1
The chess game lasted for three hours before checkmate,0
"This song is pure heat, I've played it ten times",1
The summer heat makes it difficult to sleep comfortably,0
He's absolutely crushing it at his new job lately,1
The machine is crushing aluminum cans for recycling purposes,0
"That outfit is butter, everything flows together perfectly",1
Please pass the butter for the fresh dinner rolls,0
She's serving major talent in tonight's singing competition,1
The cafeteria is serving lunch from eleven to two,0
"This beat is stupid fire, the producer is a genius",1
Making stupid mistakes cost us the important basketball game,0
"Your energy is infectious, everyone feels happier around you",1
The infectious disease requires immediate medical attention and treatment,0
"That performance was flawless, not a single mistake made",1
The flawless diamond sparkles beautifully in the jewelry store,0
"This coffee is bomb, where did you discover this place?",1
The bomb squad investigated the suspicious package in the mall,0
She's lowkey jealous of her sister's academic success,1
Turn the volume low during the late night movie,0
"Your dance moves are sick, teach me that routine",1
I'm feeling sick and need to rest in bed,0
"This party is absolutely lit, best night of the semester",1
The campfire is lit and ready for roasting marshmallows,0
"That joke was fire, I'm still laughing about it",1
The forest fire burned for days before being controlled,0
He's flexing his new gaming setup on social media,1
I need to flex my wrist after typing all day,0
"Your drip is expensive, those designer clothes look amazing",1
The leaky pipe has a constant drip that's annoying,0
She's absolutely dead serious about pursuing medical school,1
The dead battery needs to be replaced in the car,0
Don't ghost your friends when you start dating someone,1
The ghost story scared all the children at camp,0
This restaurant is lowkey the best in the entire city,1
